AccumulatedDischargerPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvPower,Hora,Dia,Mes,Anio
138.6KWH (+ 0.0 KWH) ,233.9KWH (+ 0.0 KWH) ,138.6KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,04:27:49 a.m,06,marzo,2020
138.7KWH (+ 0.1 KWH) ,234KWH (+ 0.1 KWH) ,138.7KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,04:32:50 a.m,06,marzo,2020
138.7KWH (+ 0.0 KWH) ,234KWH (+ 0.0 KWH) ,138.7KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,04:37:50 a.m,06,marzo,2020
138.7KWH (+ 0.0 KWH) ,234KWH (+ 0.0 KWH) ,138.7KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,04:42:50 a.m,06,marzo,2020
138.8KWH (+ 0.1 KWH) ,234.1KWH (+ 0.1 KWH) ,138.8KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,04:47:51 a.m,06,marzo,2020
138.8KWH (+ 0.0 KWH) ,234.1KWH (+ 0.0 KWH) ,138.8KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,04:52:51 a.m,06,marzo,2020
138.8KWH (+ 0.0 KWH) ,234.1KWH (+ 0.0 KWH) ,138.8KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,04:57:51 a.m,06,marzo,2020
138.8KWH (+ 0.0 KWH) ,234.1KWH (+ 0.0 KWH) ,138.8KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,05:02:52 a.m,06,marzo,2020
138.9KWH (+ 0.1 KWH) ,234.1KWH (+ 0.0 KWH) ,138.9KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,05:07:52 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.2KWH (+ 0.1 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,05:12:52 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.2KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,05:17:52 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.2KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,05:22:52 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.2KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,05:27:53 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.2KWH (+ 0.0 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,05:32:53 a.m,06,marzo,2020
138.9KWH (+ 0.0 KWH) ,234.3KWH (+ 0.1 KWH) ,138.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,05:37:53 a.m,06,marzo,2020
